EmployeeKey;ParentEmployeeKey;EmployeeNationalIDAlternateKey;ParentEmployeeNationalIDAlternateKey;FirstName;LastName;MiddleName;NameStyle;Title;HireDate;BirthDate;LoginID;EmailAddress;Phone;MaritalStatus;EmergencyContactName;EmergencyContactPhone;SalariedFlag;Gender;PayFrequency;BaseRate;VacationHours;SickLeaveHours;CurrentFlag;SalesPersonFlag;DepartmentName;Position
1;18;14417807;446466105;Guy;Gilbert;R;FALSE;Production Technician - WC60;28/01/2006;12/11/1981;AW\guy-gilbert;guy-gilbert@adventureworks.com;320-555-0195;M;Guy Gilbert;320-555-0195;FALSE;M;1;12,45;21;30;TRUE;FALSE;Production;
2;7;253022876;24756624;Kevin;Brown;F;FALSE;Marketing Assistant;26/08/2006;01/12/1986;AW\kevin-brown;kevin-brown@adventureworks.com;150-555-0189;S;Kevin Brown;150-555-0189;FALSE;M;2;13,4615;42;41;TRUE;FALSE;Marketing;
3;14;509647174;245797967;Roberto;Tamburello;;FALSE;Engineering Manager;11/06/2007;12/06/1974;AW\roberto-tamburello;roberto-tamburello@adventureworks.com;212-555-0187;M;Roberto Tamburello;212-555-0187;TRUE;M;2;43,2692;2;21;TRUE;FALSE;Engineering;
4;3;112457891;509647174;Rob;Walters;;FALSE;Senior Tool Designer;05/07/2007;23/07/1974;AW\rob-walters;rob-walters@adventureworks.com;612-555-0100;S;Rob Walters;612-555-0100;FALSE;M;2;29,8462;48;80;TRUE;FALSE;Tool Design;
5;3;112457891;509647174;Rob;Walters;;FALSE;Senior Tool Designer;05/07/2007;23/07/1974;AW\rob-walters;rob-walters@adventureworks.com;612-555-0100;S;Rob Walters;612-555-0100;FALSE;M;2;29,8462;48;80;TRUE;FALSE;Tool Design;
6;267;480168528;974026903;Thierry;D'Hers;B;FALSE;Tool Designer;11/07/2007;26/02/1959;AW\thierry-dhers;thierry-dhers@adventureworks.com;168-555-0183;M;Thierry D'Hers;168-555-0183;FALSE;M;2;25;9;24;TRUE;FALSE;Tool Design;
7;112;24756624;295847284;David;Bradley;M;FALSE;Marketing Manager;20/07/2007;17/10/1974;AW\david-bradley;david-bradley@adventureworks.com;913-555-0172;S;David Bradley;913-555-0172;TRUE;M;2;37,5;40;40;TRUE;FALSE;Marketing;
8;112;24756624;295847284;David;Bradley;M;FALSE;Marketing Manager;20/07/2007;17/10/1974;AW\david-bradley;david-bradley@adventureworks.com;913-555-0172;S;David Bradley;913-555-0172;TRUE;M;2;37,5;40;40;TRUE;FALSE;Marketing;
9;23;309738752;277173473;JoLynn;Dobney;M;FALSE;Production Supervisor - WC60;26/07/2007;16/08/1955;AW\jolynn-dobney;jolynn-dobney@adventureworks.com;903-555-0145;S;JoLynn Dobney;903-555-0145;FALSE;F;2;25;82;61;TRUE;FALSE;Production;
10;189;690627818;33237992;Ruth;Ellerbrock;Ann;FALSE;Production Technician - WC10;06/08/2007;03/01/1956;AW\ruth-ellerbrock;ruth-ellerbrock@adventureworks.com;145-555-0130;M;Ruth Ellerbrock;145-555-0130;FALSE;F;1;13,45;83;61;TRUE;FALSE;Production;
11;3;695256908;509647174;Gail;Erickson;A;FALSE;Design Engineer;06/08/2007;27/04/1952;AW\gail-erickson;gail-erickson@adventureworks.com;849-555-0139;M;Gail Erickson;849-555-0139;TRUE;F;2;32,6923;5;22;TRUE;FALSE;Engineering;
12;189;912265825;33237992;Barry;Johnson;K;FALSE;Production Technician - WC10;07/08/2007;25/10/1955;AW\barry-johnson;barry-johnson@adventureworks.com;206-555-0180;S;Barry Johnson;206-555-0180;FALSE;M;1;13,45;88;64;TRUE;FALSE;Production;
13;3;998320692;509647174;Jossef;Goldberg;H;FALSE;Design Engineer;24/08/2007;09/10/1958;AW\jossef-goldberg;jossef-goldberg@adventureworks.com;122-555-0189;M;Jossef Goldberg;122-555-0189;TRUE;M;2;32,6923;6;23;TRUE;FALSE;Engineering;
14;112;245797967;295847284;Terri;Duffy;Lee;FALSE;Vice President of Engineering;31/08/2007;01/03/1971;AW\terri-duffy;terri-duffy@adventureworks.com;819-555-0175;S;Terri Duffy;819-555-0175;TRUE;F;2;63,4615;1;20;TRUE;FALSE;Engineering;
15;189;844973625;33237992;Sidney;Higa;M;FALSE;Production Technician - WC10;02/09/2007;30/03/1956;AW\sidney-higa;sidney-higa@adventureworks.com;424-555-0189;M;Sidney Higa;424-555-0189;FALSE;M;1;13,45;84;62;TRUE;FALSE;Production;
16;23;233069302;277173473;Taylor;Maxwell;R;FALSE;Production Supervisor - WC50;08/09/2007;31/10/1955;AW\taylor-maxwell;taylor-maxwell@adventureworks.com;508-555-0165;M;Taylor Maxwell;508-555-0165;FALSE;M;2;25;79;59;TRUE;FALSE;Production;
17;189;132674823;33237992;Jeffrey;Ford;L;FALSE;Production Technician - WC10;20/09/2007;09/02/1956;AW\jeffrey-ford;jeffrey-ford@adventureworks.com;984-555-0185;S;Jeffrey Ford;984-555-0185;FALSE;M;1;13,45;85;62;TRUE;FALSE;Production;
18;23;446466105;277173473;Jo;Brown;A;FALSE;Production Supervisor - WC60;27/09/2007;08/05/1956;AW\jo-brown;jo-brown@adventureworks.com;632-555-0129;S;Jo Brown;632-555-0129;FALSE;F;2;25;80;60;TRUE;FALSE;Production;
19;189;565090917;33237992;Doris;Hartwig;M;FALSE;Production Technician - WC10;09/10/2007;03/11/1955;AW\doris-hartwig;doris-hartwig@adventureworks.com;328-555-0150;M;Doris Hartwig;328-555-0150;FALSE;F;1;13,45;86;63;TRUE;FALSE;Production;
